Marka	Grad	Cena	Godina proizvodnje	Karoserija	Gorivo	Zapremina motora	Kilometraza	Konjske snage	Menjac
Volkswagen	Sokobanja	1250	2001	Hečbek	Benzin	1595	373951.0	101	Manuelni
Volkswagen	Beograd	7900	2014	Hečbek	Benzin + Metan (CNG)	1399	214000.0	109	Manuelni
Audi	Zrenjanin	5500	2006	Karavan	Dizel	1968	258149.0	140	Manuelni
BMW	Novi Pazar	16999	2017	Džip/SUV	Dizel	1995	227000.0	150	Automatski
BMW	Beograd	46990	2021	Džip/SUV	Dizel	2993	107064.0	286	Automatski
Volvo	Beograd	3000	2009	Karavan	Dizel	1997	253360.0	136	Automatski
Volkswagen	Vrbas	2700	2006	Karavan	Dizel	1968	268000.0	140	Manuelni
Peugeot	Kragujevac	5699	2015	Hečbek	Dizel	1560	228000.0	92	Manuelni
Peugeot	Valjevo	13700	2019	Džip/SUV	Benzin	1199	168100.0	131	Manuelni
Kia	Šabac	19539	2025	Džip/SUV	Benzin	1197	6000.0	84	Manuelni
Volkswagen	Valjevo	17900	2018	Džip/SUV	Dizel	1968	229000.0	150	Automatski
Toyota	Beograd	19000	2017	Džip/SUV	Hibridni pogon (Benzin)	2494	283000.0	197	Automatski
Citroen	Šabac	2500	2006	Hečbek	Benzin	998	132000.0	68	Manuelni
Volkswagen	Beograd	12999	2018	Hečbek	Dizel	1598	183995.0	116	Automatski
Audi	Petrovac Na Mlavi	9800	2015	Hečbek	Dizel	1422	151416.0	90	Manuelni
Audi	Tibužde	1700	2002	Karavan	Dizel	1896	28650.0	131	Manuelni
Volkswagen	Novi Sad	16850	2017	Limuzina	Dizel	1598	221564.0	120	Automatski
Opel	Beograd	8350	2013	Džip/SUV	Dizel	1686	165160.0	131	Automatski
MINI	Niš	3200	2004	Hečbek	Benzin	1600	230000.0	90	Manuelni
Nissan	Novi Sad	10999	2017	Džip/SUV	Dizel	1489	139000.0	110	Manuelni
Porsche	Inđija	114900	2019	Kupe	Benzin	2981	111000.0	450	Automatski
Peugeot	Beograd	1150	2001	Hečbek	Benzin	1360	322000.0	75	Manuelni
Volkswagen	Poljna	4000	2006	Karavan	Dizel	1968	267000.0	140	Automatski
Volkswagen	Sremska Mitrovica	17900	2019	Karavan	Dizel	1968	65866.0	150	Automatski
Renault	Novi Bečej	3899	2011	Hečbek	Benzin	1149	147000.0	75	Manuelni
Mercedes Benz	Beograd	138000	2020	Džip/SUV	Dizel	2925	95000.0	286	Automatski
BMW	Zemun	13750	2016	Hečbek	Benzin	1499	173000.0	109	Manuelni
Volkswagen	Kraljevo	6899	2011	Monovolumen (MiniVan)	Dizel	1598	162000.0	105	Automatski
Opel	Aleksinac	1150	2001	Monovolumen (MiniVan)	Dizel	1995	256000.0	101	Manuelni
Opel	Brus	720000	2002	Karavan	Benzin	1389	245231.0	90	Manuelni
Volkswagen	Temerin	5350	2006	Limuzina	Dizel	1896	257103.0	105	Manuelni
Fiat	Novi Sad	900000	2003	Hečbek	Dizel	1910	280000.0	116	Manuelni
Peugeot	Niš	7950	2014	Hečbek	Dizel	1560	219860.0	116	Manuelni
Peugeot	Sombor	2690	2007	Hečbek	Dizel	1560	248250.0	109	Manuelni
Zastava	Novi Sad	799000	2006	Hečbek	Benzin + Gas (TNG)	1116	64000.0	54	Manuelni
BMW	Požarevac	1000	1997	Kupe	Benzin	1600	186000.0	106	Manuelni
Audi	Ub	3550	2006	Hečbek	Dizel	1968	216500.0	140	Automatski
Renault	Beograd	8500	2008	Kupe	Benzin	1998	175000.0	205	Manuelni
Mercedes Benz	Zrenjanin	15999	2015	Limuzina	Dizel	2143	191500.0	204	Automatski
Citroen	Zemun	14990	2022	Monovolumen (MiniVan)	Dizel	1499	173331.0	131	Automatski
Volkswagen	Bajina Bašta	4900	2009	Hečbek	Dizel	1560	250362.0	105	Manuelni
Volkswagen	Beograd	15500	2015	Džip/SUV	Dizel	1968	232143.0	179	Automatski
Jaguar	Beograd	8800	2008	Limuzina	Dizel	2720	191000.0	207	Automatski
Hyundai	Niš	4600	2005	Džip/SUV	Benzin + Gas (TNG)	1975	242660.0	141	Manuelni
Citroen	Crvenka	3300	2008	Monovolumen (MiniVan)	Dizel	1997	285000.0	136	Automatski
Audi	Negotin	13300	2015	Karavan	Dizel	1968	215000.0	177	Automatski
Renault	Niš	2850	2009	Monovolumen (MiniVan)	Benzin	1149	176500.0	75	Manuelni
Audi	Čačak	6800	2008	Limuzina	Dizel	1968	312000.0	136	Manuelni
Volkswagen	Beograd	13000	2017	Karavan	Dizel	1968	155000.0	150	Automatski
Renault	Zrenjanin	850000	2007	Monovolumen (MiniVan)	Dizel	1870	174000.0	131	Manuelni
Volkswagen	Veternik	20999	2021	Hečbek	Dizel	1968	121000.0	116	Manuelni
BMW	Čačak	34900	2020	Limuzina	Dizel	1995	171000.0	190	Automatski
Ford	Kragujevac	4000	2009	Hečbek	Benzin	1242	167900.0	82	Manuelni
Zastava	Kragujevac	850000	2006	Hečbek	Benzin + Gas (TNG)	1299	115752.0	65	Manuelni
Peugeot	NIŠ	470000	2000	Hečbek	Dizel	1997	289235.0	90	Manuelni
BMW	Kruševac	1800	2004	Limuzina	Dizel	1951	30000.0	116	Manuelni
Volkswagen	Svetozar Miletić	7990	2009	Džip/SUV	Dizel	1968	274000.0	140	Manuelni
Opel	Beograd	16500	2022	Džip/SUV	Benzin	1199	41586.0	110	Manuelni
Renault	Kragujevac	1499	2004	Monovolumen (MiniVan)	Dizel	1870	436587.0	120	Manuelni
BMW	Beograd	4800	2008	Hečbek	Benzin	1597	263000.0	122	Manuelni
Fiat	Ruma	1159	2002	Kupe	Benzin	1596	254554.0	103	Manuelni
Volkswagen	Novi Pazar	6799	2012	Hečbek	Dizel	1598	246771.0	105	Manuelni
Lancia	Kragujevac	4500	2008	Hečbek	Dizel	1598	181847.0	120	Manuelni
Škoda	Priboj	1500	2002	Hečbek	Benzin	1390	190000.0	75	Manuelni
Alfa Romeo	Beograd	2800	2010	Hečbek	Benzin	1368	250000.0	120	Manuelni
Fiat	Inđija	2000	2010	Limuzina	Dizel	1300	340000.0	75	Manuelni
Peugeot	Beograd	17090	2020	Džip/SUV	Dizel	1499	130658.0	131	Manuelni
Peugeot	Beograd	2550	2009	Hečbek	Benzin	1397	125000.0	95	Manuelni
Renault	Novi Sad	4950	2014	Limuzina	Dizel	1461	231000.0	95	Manuelni
Volkswagen	Bačka Palanka	6999	2012	Karavan	Dizel	1968	265000.0	140	Manuelni
Mercedes Benz	Kruševac	2800	2007	Hečbek	Dizel	1991	248123.0	82	Manuelni
Ford	Novi Beograd	8490	2016	Hečbek	Dizel	1560	186014.0	116	Manuelni
Opel	Beograd	14490	2021	Džip/SUV	Dizel	1499	166000.0	131	Automatski
Hyundai	Novi Sad	14850	2017	Džip/SUV	Dizel	1995	268000.0	185	Manuelni
BMW	Mala Bosna	4000	2008	Džip/SUV	Dizel	2993	240000.0	235	Automatski
Opel	Aranđelovac	2550	2007	Limuzina	Benzin	998	216219.0	60	Manuelni
Škoda	Novi Sad	25000	2020	Limuzina	Dizel	1968	175000.0	190	Automatski
Citroen	Niš	2500	2010	Hečbek	Benzin	1360	135000.0	88	Manuelni
Peugeot	Beograd	1000	2002	Karavan	Benzin	1587	253761.0	109	Automatski
Audi	Batajnica	4999	2008	Hečbek	Dizel	1968	220000.0	140	Manuelni
Volkswagen	Velika Plana	2500	1997	Pickup	Dizel	1900	420000.0	60	Manuelni
Citroen	Gornji Milanovac	400000	1996	Pickup	Dizel	1768	206000.0	60	Manuelni
Fiat	Loznica	8900	2014	Hečbek	Dizel	1248	143800.0	80	Manuelni
Fiat	Beograd	2700	2006	Hečbek	Dizel	1248	238000.0	90	Manuelni
Alfa Romeo	Kragujevac	800000	2001	Limuzina	Benzin	1600	256918.0	120	Manuelni
BMW	Topola	6300	2006	Limuzina	Dizel	1995	285000.0	163	Manuelni
BMW	Beograd	15800	2011	Džip/SUV	Dizel	2993	260300.0	306	Automatski
Opel	Batajnica	9290	2012	Džip/SUV	Benzin	1364	190200.0	140	Manuelni
Audi	Beograd	55192	2022	Karavan	Dizel	2967	15995.0	245	Automatski
Honda	Dobanovci	37990	2023	Džip/SUV	Hibridni pogon (Benzin)	1993	21328.0	143	Automatski
Volkswagen	Novi Sad	17300	2016	Limuzina	Dizel	1968	195560.0	190	Automatski
Renault	Šid	3500	2010	Hečbek	Dizel	1461	320000.0	86	Manuelni
Seat	Novi Sad	5300	2010	Hečbek	Dizel	1900	243000.0	105	Manuelni
BMW	Čukarica	63800	2020	Džip/SUV	Dizel	2993	89400.0	286	Automatski
BMW	Zvezdara	12000	2010	Limuzina	Benzin	2996	186000.0	204	Automatski
BMW	Bor	3800	2008	Karavan	Dizel	1998	250000.0	163	Manuelni
Citroen	Jagodina	11550	2021	Džip/SUV	Benzin	1199	137368.0	110	Manuelni
Audi	Pančevo	22500	2019	Limuzina	Dizel	1968	190500.0	136	Automatski
Peugeot	Požega	3600	2008	Hečbek	Dizel	1560	338000.0	109	Manuelni
Peugeot	Bogosavac	4400	2012	Pickup	Dizel	1600	205200.0	91	Manuelni
Hyundai	Beograd	9500	2012	Džip/SUV	Dizel	1685	225000.0	116	Manuelni
Fiat	Kikinda	900000	2003	Hečbek	Benzin + Gas (TNG)	1596	242928.0	103	Manuelni
Mercedes Benz	Kuzmin	500000	2001	Hečbek	Benzin	1397	297686.0	82	Manuelni
BMW	Gornji Milanovac	4700	2003	Džip/SUV	Dizel	2926	250000.0	184	Manuelni
Citroen	Sopot	4199	2011	Limuzina	Benzin	1397	130215.0	95	Manuelni
Volkswagen	Sremska Mitrovica	2890	2006	Hečbek	Dizel	1422	201000.0	69	Manuelni
Citroen	Jagodina	8750	2017	Hečbek	Benzin	1199	51382.0	82	Manuelni
Peugeot	Zemun	7290	2018	Hečbek	Dizel	1499	183722.0	102	Manuelni
Volkswagen	Subotica	5150	2009	Džip/SUV	Dizel	1968	236055.0	140	Manuelni
Volkswagen	Aleksinac	2900	2006	Hečbek	Benzin	1390	199999.0	75	Manuelni
BMW	Loznica	9400	2011	Karavan	Dizel	1995	260237.0	184	Automatski
Alfa Romeo	Šabac	6699	2008	Kupe	Dizel	2387	201000.0	200	Manuelni
Renault	Kraljevo	11950	2022	Hečbek	Dizel	1461	138358.0	116	Manuelni
Peugeot	Beška	1350	2006	Hečbek	Benzin	1360	205000.0	75	Manuelni
Audi	Sremska Kamenica	4799	2008	Hečbek	Dizel	1968	195862.0	140	Manuelni
Citroen	Zemun	14990	2022	Monovolumen (MiniVan)	Dizel	1499	173331.0	131	Automatski
BMW	Kostolac	5000	2007	Limuzina	Dizel	1995	269216.0	143	Manuelni
Mercedes Benz	Sremska Mitrovica	4000	2007	Monovolumen (MiniVan)	Dizel	1991	298789.0	109	Manuelni
Volkswagen	Bečej	5500	2010	Hečbek	Dizel	1598	224000.0	90	Manuelni
Volkswagen	Borča	15980	2020	Monovolumen (MiniVan)	Dizel	1968	186776.0	116	Automatski
Fiat	Vrčin	10650	2018	Monovolumen (MiniVan)	Dizel	1248	110520.0	95	Automatski
Audi	Deronje	7600	2010	Karavan	Benzin	1984	244900.0	211	Automatski
Volkswagen	Prijepolje	3800	2005	Limuzina	Dizel	1968	260023.0	140	Manuelni
Toyota	Jagodina	11000	2004	Džip/SUV	Dizel	2982	289000.0	166	Automatski
Audi	Bačka Palanka	7990	2011	Karavan	Dizel	1968	243000.0	143	Automatski
BMW	Sombor	3450	2006	Hečbek	Benzin	1596	159000.0	116	Manuelni
Volkswagen	Ečka	4999	2010	Hečbek	Dizel	1600	262000.0	105	Manuelni
Toyota	Subotica	23900	2020	Džip/SUV	Hibridni pogon (Benzin)	2487	241500.0	222	Automatski
Renault	Pančevo	2999	2009	Hečbek	Benzin	1149	182407.0	76	Manuelni
Opel	Valjevo	1199	2003	Karavan	Dizel	1995	284950.0	101	Manuelni
Peugeot	Obrovac	950000	2005	Hečbek	Benzin	1360	290527.0	88	Manuelni
Audi	Bor	3599	2005	Karavan	Dizel	1968	327000.0	140	Manuelni
Citroen	Rekovac	1450	2007	Hečbek	Benzin	998	211523.0	68	Manuelni
Audi	Požarevac	5200	2011	Karavan	Dizel	1968	274356.0	170	Manuelni
Škoda	Kragujevac	22999	2022	Hečbek	Benzin + Metan (CNG)	999	12000.0	90	Manuelni
Land	Novi Sad	16000	2017	Džip/SUV	Dizel	1999	127000.0	179	Automatski
Audi	Jagodina	18990	2015	Hečbek	Benzin	1984	182000.0	300	Automatski
Audi	Lipolist	8900	2009	Džip/SUV	Dizel	1968	185000.0	170	Automatski
Citroen	Beograd	5490	2008	Limuzina	Dizel	1997	211958.0	136	Automatski
Audi	Lučani (Selo)	2450	2003	Karavan	Dizel	1896	330000.0	131	Manuelni
Audi	Novi Pazar	4100	2005	Karavan	Dizel	1968	305500.0	140	Manuelni
Volkswagen	Kaluđerica	2300	2004	Hečbek	Dizel	1968	254000.0	140	Manuelni
Citroen	Futog	9990	2016	Hečbek	Dizel	1997	187621.0	181	Automatski
Volkswagen	Novi Beograd	4000	2005	Hečbek	Benzin	1984	220000.0	200	Manuelni
Peugeot	Despotovac	2700	2004	Kabriolet/Roadster	Benzin	1997	209000.0	136	Manuelni
Ford	Sopot	1000	2006	Hečbek	Benzin	1299	129350.0	60	Manuelni
Škoda	Smederevo	19900	2019	Džip/SUV	Benzin	1498	168000.0	150	Automatski
Fiat	Zrenjanin	900000	2004	Hečbek	Benzin	1242	210000.0	60	Manuelni
Toyota	Aranđelovac	19800	2016	Džip/SUV	Hibridni pogon	1798	108500.0	122	Automatski
Renault	Novi Bečej	3899	2011	Hečbek	Benzin	1149	147000.0	75	Manuelni
Ford	Jagodina	2799	2005	Monovolumen (MiniVan)	Dizel	1560	240000.0	109	Manuelni
Audi	Sremska Mitrovica	13800	2015	Hečbek	Dizel	1968	240000.0	177	Automatski
Fiat	Beograd	8000	2016	Hečbek	Benzin	875	146572.0	105	Manuelni
Audi	Petrovac Na Mlavi	3950	2005	Karavan	Dizel	1896	225500.0	116	Manuelni
Volkswagen	Knjaževac	3800	2006	Karavan	Dizel	1896	292000.0	105	Manuelni
Volkswagen	Požarevac	24000	2019	Džip/SUV	Dizel	1968	99500.0	150	Automatski
BMW	Obrenovac	10000	2014	Limuzina	Dizel	1995	201000.0	136	Manuelni
Ford	Sremska Mitrovica	1300	2002	Limuzina	Benzin	1600	145000.0	101	Manuelni
Dacia	Kraljevo	1100	2005	Limuzina	Benzin	1390	248000.0	75	Manuelni
MINI	Beograd	3400	2012	Hečbek	Benzin	1598	220000.0	75	Manuelni
Hyundai	Vršac	3250	2011	Hečbek	Benzin	1396	287000.0	109	Manuelni
Volkswagen	Novi Pazar	17999	2018	Džip/SUV	Dizel	1968	257505.0	150	Automatski
Alfa Romeo	Kragujevac	4699	2007	Limuzina	Dizel	1910	274000.0	150	Manuelni
Volkswagen	Subotica	3200	2008	Hečbek	Benzin	1390	176000.0	80	Manuelni
Volkswagen	Sokobanja	1250	1910	Hečbek	Benzin	1595	373951.0	101	Manuelni
Opel	Šabac	11999	2017	Hečbek	Dizel	1598	127900.0	136	Manuelni
Citroen	Beograd	8299	2017	Hečbek	Dizel	1600	154650.0	120	Manuelni
Alfa Romeo	Rekovac	980000	2004	Hečbek	Dizel	1910	258321.0	116	Manuelni
Citroen	Bačka Palanka	800000	2004	Hečbek	Benzin	1124	180000.0	60	Manuelni
Škoda	Loznica	7700	2014	Karavan	Benzin	1798	212357.0	179	Automatski
Fiat	Kragujevac	9900	2012	Kabriolet/Roadster	Benzin	1400	108000.0	160	Manuelni
Škoda	Inđija	2000	2008	Pickup	Benzin + Gas (TNG)	1400	281000.0	86	Manuelni
BMW	Beograd	116900	2024	Džip/SUV	Dizel	2993	32000.0	340	Automatski
Mercedes Benz	Sečanj	2999	2005	Limuzina	Dizel	2148	305000.0	122	Manuelni
Opel	Beograd	19500	2023	Hečbek	Benzin	1199	56811.0	110	Manuelni
Volkswagen	Novi Pazar	5790	2011	Hečbek	Dizel	1598	230000.0	90	Manuelni
Citroen	Užice	2550	2007	Hečbek	Benzin	1124	97657.0	60	Manuelni
Volkswagen	Kraljevo	2250	2008	Karavan	Dizel	1968	262339.0	140	Manuelni
Fiat	Beograd	4950	2016	Hečbek	Benzin + Metan (CNG)	1368	145232.0	77	Manuelni
BMW	Kragujevac	13690	2016	Džip/SUV	Dizel	1496	212320.0	116	Manuelni
Volkswagen	Šabac	3750	2005	Karavan	Dizel	1968	275000.0	140	Automatski
BMW	Futog	14490	2015	Limuzina	Benzin	1600	189650.0	136	Manuelni
BMW	Beograd	6999	2007	Limuzina	Dizel	1995	270000.0	163	Manuelni
Alfa Romeo	Beograd	2800	2010	Hečbek	Benzin	1368	250000.0	120	Manuelni
Ford	Beograd	2800	1988	Kabriolet/Roadster	Benzin	1600	10000.0	249	Manuelni
Opel	Jagodina	2800	2008	Monovolumen (MiniVan)	Benzin + Metan (CNG)	1598	234500.0	94	Manuelni
Volkswagen	Subotica	12400	2011	Džip/SUV	Dizel	2000	200000.0	163	Manuelni
Opel	Zrenjanin	6200	2014	Hečbek	Dizel	1686	209000.0	110	Manuelni
Nissan	Niš	7350	2013	Džip/SUV	Dizel	1461	197000.0	110	Manuelni
Mercedes Benz	Novi Banovci	2550	2002	Džip/SUV	Dizel	2685	280000.0	163	Automatski
Volkswagen	Novi Pazar	2150	2002	Monovolumen (MiniVan)	Dizel	1896	440000.0	116	Manuelni
Volkswagen	Novi Beograd	3400	2005	Limuzina	Dizel	1968	206000.0	140	Manuelni
Volkswagen	Temerin	9200	1978	Hečbek	Benzin	1093	154000.0	50	Manuelni
BMW	Valjevo	33850	2016	Džip/SUV	Dizel	2993	223000.0	381	Automatski
BMW	Leskovac	3850	2004	Limuzina	Dizel	2000	277540.0	150	Automatski
Peugeot	Čačak	3100	2008	Limuzina	Dizel	1997	379726.0	136	Manuelni
Citroen	Despotovac	2200	2006	Hečbek	Benzin	1360	184000.0	88	Manuelni
Opel	Surčin	11350	2019	Džip/SUV	Benzin	1198	138000.0	110	Manuelni
Peugeot	Trstenik	2800	2006	Hečbek	Benzin	1587	245000.0	109	Manuelni
Opel	Beograd	9150	2016	Hečbek	Benzin	1399	152000.0	125	Manuelni
Ford	Ub	2100	2006	Karavan	Dizel	1753	305000.0	116	Manuelni
Opel	Zemun	15700	2018	Karavan	Dizel	1956	185000.0	209	Automatski
Škoda	Leskovac	21600	2017	Džip/SUV	Dizel	1968	231212.0	190	Automatski
Opel	Aleksandrovac	1200	2001	Karavan	Dizel	1700	236985.0	75	Manuelni
Fiat	Bojnik	1350	2002	Pickup	Benzin	1100	290000.0	54	Manuelni
Volkswagen	Vrbas	2700	2006	Karavan	Dizel	1968	268000.0	140	Manuelni
Renault	Leskovac	3500	2010	Monovolumen (MiniVan)	Dizel	1870	242000.0	131	Manuelni
Audi	Beograd	3800	2007	Karavan	Dizel	1896	288000.0	116	Manuelni
Fiat	Pančevo	1100	2001	Hečbek	Benzin	1242	190000.0	60	Manuelni
Volkswagen	Varvarin	2600	2002	Limuzina	Dizel	1896	292500.0	101	Manuelni
DS	Novi Sad	10000	2015	Hečbek	Dizel	1997	221000.0	181	Automatski
Citroen	Niš	8300	2020	Limuzina	Benzin	1125	35000.0	83	Manuelni
Citroen	Novi Sad	4000	2008	Limuzina	Dizel	1997	219700.0	140	Manuelni
Škoda	Banovo Brdo	4300	2007	Karavan	Benzin	1984	235000.0	200	Manuelni
Audi	Valjevo	6690	2010	Hečbek	Dizel	1598	202531.0	90	Manuelni
Opel	Pančevo	3800	2011	Hečbek	Benzin + Gas (TNG)	1229	210000.0	86	Manuelni
Audi	Beograd	3000	2007	Limuzina	Dizel	2698	286437.0	179	Automatski
Renault	Kragujevac	550000	2001	Hečbek	Benzin	1783	160000.0	120	Manuelni
Nissan	Kać	5999	2010	Džip/SUV	Benzin + Gas (TNG)	1598	199000.0	114	Manuelni
Volkswagen	Niš	350000	1994	Hečbek	Benzin + Gas (TNG)	1597	150000.0	75	Manuelni
Škoda	Banovo Brdo	4300	2007	Karavan	Benzin	1984	235000.0	200	Manuelni
Opel	Voždovac	6400	2012	Kupe	Dizel	1956	182400.0	165	Manuelni
Volvo	Novi Beograd	17900	2017	Karavan	Dizel	1969	240500.0	150	Automatski
Citroen	Jagodina	9950	2020	Hečbek	Dizel	1499	132520.0	102	Manuelni
Hyundai	Jagodina	35990	2025	Džip/SUV	Benzin	1598	1000.0	160	Automatski
Vauxhall	Beograd	1950	2014	Hečbek	Dizel	1956	112042.0	165	Manuelni
Renault	Jagodina	11750	2020	Hečbek	Dizel	1461	164693.0	116	Manuelni
Opel	Beograd	2500	2001	Kupe	Benzin + Gas (TNG)	1796	293000.0	125	Manuelni
BMW	Bor	2250	2000	Karavan	Benzin + Gas (TNG)	1895	183000.0	118	Manuelni
BMW	Lazarevac	1600	2003	Limuzina	Benzin	4398	315000.0	333	Automatski
Audi	Beograd	9500	2011	Karavan	Dizel	2996	282000.0	239	Automatski
Volkswagen	Požega	1999	2001	Hečbek	Dizel	1896	457000.0	101	Manuelni
Audi	Brus	8500	2012	Hečbek	Dizel	1598	202000.0	105	Automatski
Opel	Srbobran	11900	2022	Hečbek	Benzin	1198	36095.0	75	Manuelni
Peugeot	Beograd	9650	2020	Hečbek	Dizel	1499	162385.0	102	Manuelni
Porsche	Novi Sad	124990	2020	Kupe	Benzin	2981	29000.0	385	Automatski
Honda	Beograd	5400	2008	Hečbek	Benzin	1799	189000.0	140	Manuelni
Land	Beograd	28000	2020	Džip/SUV	Dizel	1999	88250.0	150	Automatski
Suzuki	Kanjiža	3750	2014	Hečbek	Benzin	1242	207000.0	94	Manuelni
Opel	Braće Jerković	6700	2013	Monovolumen (MiniVan)	Dizel	1956	277000.0	165	Automatski
Renault	Subotica	3250	2015	Hečbek	Dizel	1461	176900.0	75	Manuelni
Peugeot	Beograd	3600	2012	Hečbek	Benzin	1199	164000.0	82	Manuelni
Volkswagen	Beograd	3300	2008	Monovolumen (MiniVan)	Dizel	1968	314398.0	140	Manuelni
Škoda	Paraćin	4700	2009	Karavan	Dizel	1998	230000.0	140	Manuelni
Opel	Kikinda	4750	2009	Karavan	Dizel	1956	225000.0	110	Manuelni
Toyota	Novi Sad	8500	2016	Limuzina	Benzin	1598	161000.0	132	Manuelni
Peugeot	Beograd	1000	2002	Karavan	Benzin	1587	253761.0	109	Automatski
Hyundai	Niš	4600	2005	Džip/SUV	Benzin + Gas (TNG)	1975	242660.0	141	Manuelni
Citroen	Čačak	5000	2011	Hečbek	Dizel	1560	188000.0	111	Manuelni
Audi	Deronje	7600	2010	Karavan	Benzin	1984	244900.0	211	Automatski
Seat	Futog	6990	2015	Karavan	Dizel	1598	178268.0	105	Manuelni
Škoda	Čačak	3800	2011	Hečbek	Dizel	1598	201500.0	75	Manuelni
Porsche	Inđija	114900	2019	Kupe	Benzin	2981	111000.0	450	Automatski
BMW	Deliblato	1750	2001	Limuzina	Dizel	2000	309000.0	136	Manuelni
Toyota	Aranđelovac	9590	2019	Hečbek	Benzin	998	65559.0	69	Manuelni
Audi	Stara Pazova	21000	2010	Limuzina	Dizel	4134	260000.0	349	Automatski
Peugeot	Pančevo	18590	2021	Džip/SUV	Dizel	1499	143550.0	131	Automatski
Toyota	Beograd	3100	2004	Džip/SUV	Benzin + Gas (TNG)	1794	225000.0	125	Manuelni
Volkswagen	Beograd	5200	2008	Hečbek	Dizel	1896	277983.0	105	Manuelni
Citroen	Beograd	2000	2007	Monovolumen (MiniVan)	Dizel	1560	197400.0	90	Manuelni
Peugeot	Čačak	5100	2009	Monovolumen (MiniVan)	Dizel	1560	183000.0	110	Manuelni
Volkswagen	Novi Pazar	3400	2005	Limuzina	Dizel	1896	250000.0	105	Manuelni
Mercedes Benz	Beograd	40990	2018	Kupe	Dizel	1950	112000.0	194	Automatski
Peugeot	Beograd	14690	2021	Džip/SUV	Benzin	1199	95113.0	131	Manuelni
Volkswagen	Apatin	3700	2006	Hečbek	Benzin	1390	150000.0	75	Manuelni
Citroen	Jagodina	11350	2019	Hečbek	Benzin	1199	108661.0	110	Manuelni
Opel	Beograd	3790	2011	Hečbek	Dizel	1248	289000.0	95	Manuelni
BMW	Beograd	6999	2007	Limuzina	Dizel	1995	270000.0	163	Manuelni
Ford	Beograd	4100	2003	Karavan	Benzin	2967	182605.0	226	Manuelni
Dacia	Šimanovci	5999	2013	Džip/SUV	Dizel	1461	191000.0	90	Manuelni
Volkswagen	Novi Sad	2400	2003	Limuzina	Dizel	1896	269000.0	101	Manuelni
Volkswagen	Valjevo	4350	2005	Limuzina	Dizel	1968	256321.0	140	Automatski
Mercedes Benz	Bačka Topola	4490	2015	Monovolumen (MiniVan)	Dizel	1461	210150.0	90	Manuelni
Volkswagen	Novi Bečej	4000	2011	Hečbek	Benzin	1198	169000.0	69	Manuelni
BMW	Surčin	19000	2016	Limuzina	Dizel	1995	259000.0	190	Automatski
BMW	Novi Sad	3500	2004	Kupe	Dizel	1995	300000.0	150	Manuelni
Peugeot	Prigrevica	17900	2017	Džip/SUV	Dizel	1997	195670.0	150	Manuelni
Audi	Novi Sad	9000	2010	Limuzina	Dizel	1968	245020.0	143	Manuelni
Mazda	Pančevo	17500	2016	Džip/SUV	Dizel	2191	97000.0	175	Automatski
BMW	Surčin	19000	2016	Limuzina	Dizel	1995	259000.0	190	Automatski
Ford	Beograd	800000	2006	Karavan	Dizel	1753	340000.0	116	Manuelni
Citroen	Smederevo	2300	2011	Hečbek	Dizel	1560	222222.0	92	Manuelni
Land	Čačak	35990	2021	Džip/SUV	Dizel	1999	80927.0	163	Automatski
Fiat	Žarkovo	3600	2010	Hečbek	Dizel	1298	212000.0	83	Manuelni
Mercedes Benz	Veternik	37500	2016	Limuzina	Dizel	2987	250000.0	258	Automatski
BMW	Ruma	3900	2010	Limuzina	Dizel	2000	180000.0	136	Manuelni
Peugeot	Beograd	14690	2021	Džip/SUV	Benzin	1199	95113.0	131	Manuelni
Peugeot	Valjevo	15950	2017	Džip/SUV	Benzin	1199	198000.0	131	Manuelni
BMW	Ruma	3900	2010	Limuzina	Dizel	2000	180000.0	136	Manuelni
Seat	Beograd	14990	2020	Hečbek	Benzin + Metan (CNG)	1498	33018.0	131	Automatski
Citroen	Jagodina	11550	2021	Džip/SUV	Benzin	1199	137368.0	110	Manuelni
Citroen	Niš	1200	2000	Limuzina	Dizel	2000	210000.0	90	Manuelni
Citroen	Beograd	1500	2006	Monovolumen (MiniVan)	Dizel	1997	261570.0	107	Automatski
Chevrolet	Beograd	1700	1899	Hečbek	Benzin + Gas (TNG)	796	201000.0	52	Manuelni
Smart	Beograd	7600	2015	Kupe	Benzin	999	75000.0	71	Manuelni
Volkswagen	Novi Beograd	4000	2005	Hečbek	Benzin	1984	220000.0	200	Manuelni
BMW	Lazarevac	1600	2003	Limuzina	Benzin	4398	315000.0	333	Automatski
Ford	Beograd	650000	2003	Hečbek	Benzin + Gas (TNG)	1299	270000.0	69	Manuelni
Peugeot	Beograd	3000	2006	Hečbek	Dizel	1560	213920.0	109	Manuelni
Renault	Jošanička Banja	2300	2007	Hečbek	Benzin	1149	212000.0	58	Manuelni
Mazda	Beograd	68240	2024	Džip/SUV	Hibridni pogon	3283	8000.0	253	Automatski
Peugeot	Beograd	3000	2006	Hečbek	Dizel	1560	213920.0	109	Manuelni
Nissan	Beograd	1600	2005	Pickup	Dizel	1461	175500.0	82	Manuelni
Volkswagen	Apatin	3700	2006	Hečbek	Benzin	1390	150000.0	75	Manuelni
Audi	Kać	5000	2008	Karavan	Dizel	1968	300000.0	140	Manuelni
Seat	Vrbas	10700	2021	Hečbek	Benzin + Metan (CNG)	999	208163.0	90	Manuelni
